Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Ryan Rollins,22,MIL,PG,39,8,12.5,1.9,4.2,.451,0.6,1.8,.348,1.3,2.4,.526,.524,0.5,0.6,.833,0.4,1.2,1.6,1.3,0.7,0.3,0.8,1.4,4.9,
Aaron Holiday,28,HOU,PG,42,3,12.5,1.6,4.0,.411,0.9,2.5,.349,0.8,1.5,.516,.521,0.6,0.7,.862,0.2,1.0,1.3,1.3,0.4,0.1,0.5,1.1,4.8,
Karlo MatkoviÄ,23,NOP,PF,20,2,14.9,1.8,3.2,.563,0.4,1.0,.368,1.5,2.3,.644,.617,0.8,0.9,.941,1.3,2.4,3.7,0.8,0.5,1.1,1.0,2.3,4.8,
Tre Jones,25,CHI,PG,6,0,16.5,2.0,4.7,.429,0.2,0.8,.200,1.8,3.8,.478,.446,1.8,1.8,1.000,0.5,1.5,2.0,2.3,1.0,0.2,0.3,0.7,6.0,
David Roddy,23,PHI,PF,3,0,9.7,2.7,6.3,.421,0.7,3.7,.182,2.0,2.7,.750,.474,0.0,0.0,,0.7,2.3,3.0,1.0,0.7,0.0,0.3,0.3,6.0,
Marvin Bagley III,25,MEM,PF,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Taylor Hendricks,21,UTA,PF,3,3,25.0,1.3,6.0,.222,1.0,4.0,.250,0.3,2.0,.167,.306,1.0,1.3,.750,1.7,3.3,5.0,0.7,1.7,1.3,0.7,2.7,4.7,
Jordan Miller,25,LAC,SF,30,0,12.4,1.8,4.2,.429,0.3,1.2,.222,1.5,3.0,.511,.460,0.9,1.1,.788,0.7,1.0,1.7,1.1,0.5,0.2,0.7,0.7,4.7,
Mo Bamba,26,LAC,C,28,2,12.6,1.7,3.7,.466,0.5,1.8,.300,1.2,1.9,.623,.539,0.6,0.9,.680,0.9,3.4,4.3,0.6,0.3,1.0,0.7,1.8,4.6,
Charles Bassey,24,SAS,C,34,1,10.7,2.0,3.4,.586,0.0,0.0,,2.0,3.4,.586,.586,0.6,1.0,.636,1.6,2.8,4.4,0.5,0.4,0.9,0.7,1.4,4.6,
Trentyn Flowers,19,LAC,SF,2,0,8.0,2.0,4.5,.444,0.0,1.0,.000,2.0,3.5,.571,.444,0.5,0.5,1.000,0.5,1.5,2.0,0.0,0.0,0.0,0.5,1.5,4.5,
Sandro Mamukelashvili,25,SAS,PF,36,0,8.5,1.6,3.1,.518,0.7,1.9,.388,0.9,1.3,.711,.634,0.6,0.8,.724,0.6,1.8,2.4,0.5,0.3,0.3,0.4,0.8,4.5,
Julian Phillips,21,CHI,SF,56,3,13.3,1.6,3.5,.442,0.6,1.9,.336,0.9,1.6,.567,.533,0.8,1.0,.737,0.9,1.2,2.0,0.4,0.5,0.3,0.4,1.3,4.5,
Trevelin Queen,27,ORL,SG,26,2,14.3,1.7,4.8,.355,0.6,2.5,.246,1.1,2.3,.475,.419,0.5,0.6,.867,0.8,0.8,1.6,1.3,1.0,0.4,0.8,1.4,4.5,
Jett Howard,21,ORL,SF,48,0,11.4,1.6,4.2,.369,1.0,3.1,.313,0.6,1.2,.518,.483,0.3,0.4,.750,0.4,0.9,1.3,0.8,0.2,0.2,0.5,1.0,4.4,
Reggie Jackson,34,PHI,PG,31,1,12.4,1.7,4.3,.391,0.8,2.4,.338,0.9,1.9,.458,.485,0.2,0.3,.778,0.3,1.1,1.4,1.5,0.5,0.1,0.5,1.1,4.4,
Pat Connaughton,32,MIL,SG,31,0,14.8,1.6,3.7,.431,0.6,2.0,.323,1.0,1.7,.556,.517,0.4,0.5,.765,0.5,2.1,2.6,1.6,0.2,0.3,0.6,1.1,4.3,
Daniel Theis,32,NOP,C,38,9,16.3,1.6,3.4,.473,0.2,1.0,.243,1.4,2.4,.565,.508,0.8,1.0,.838,1.2,3.2,4.3,1.6,0.5,0.5,0.7,1.8,4.3,
Malaki Branham,21,SAS,SG,33,0,8.9,1.5,3.5,.431,0.6,1.6,.389,0.9,1.9,.468,.522,0.5,0.6,.850,0.1,1.0,1.1,0.8,0.2,0.1,0.8,0.5,4.2,
Paul Reed,25,DET,C,32,0,9.4,1.6,3.1,.531,0.2,0.7,.286,1.4,2.4,.597,.561,0.8,1.0,.806,0.9,1.6,2.5,0.9,1.0,0.6,0.5,1.6,4.2,
Terrence Shannon Jr.,24,MIN,SG,19,0,10.3,1.7,3.5,.493,0.2,0.9,.222,1.5,2.6,.592,.522,0.5,0.6,.833,0.4,1.2,1.5,1.1,0.3,0.2,0.5,0.7,4.2,
Dalen Terry,22,CHI,SG,51,1,12.6,1.5,3.2,.472,0.4,1.2,.339,1.1,2.0,.548,.534,0.7,1.1,.704,0.5,1.0,1.5,1.2,0.5,0.2,0.7,1.5,4.2,
Elfrid Payton,30,CHO,PG,6,2,20.5,0.5,3.5,.143,0.0,0.0,,0.5,3.5,.143,.143,0.0,0.0,,0.2,2.0,2.2,3.3,1.0,0.5,1.2,2.0,1.0,
Micah Potter,26,UTA,C,26,9,17.3,1.4,3.1,.444,0.9,2.4,.387,0.5,0.7,.632,.593,0.4,0.5,.917,1.2,2.8,4.0,0.7,0.2,0.3,0.7,1.3,4.1,
Cody Williams,20,UTA,SG,32,12,20.6,1.5,4.6,.322,0.5,2.3,.236,0.9,2.3,.405,.380,0.7,0.9,.724,0.6,1.8,2.4,1.3,0.5,0.3,0.8,1.8,4.1,
Jock Landale,29,HOU,C,29,0,10.6,1.5,3.3,.458,0.2,0.5,.429,1.3,2.8,.463,.490,0.8,1.1,.688,1.3,1.9,3.2,0.9,0.2,0.3,0.4,1.0,4.0,
Kyle Lowry,38,PHI,PG,33,12,18.9,1.2,3.4,.351,0.8,2.5,.337,0.3,0.8,.393,.477,0.8,1.0,.818,0.3,1.6,2.0,2.8,0.9,0.3,0.6,1.8,4.0,
Dariq Whitehead,20,BRK,SF,9,0,6.3,1.3,2.8,.480,1.2,2.3,.524,0.1,0.4,.250,.700,0.1,0.3,.333,0.1,0.6,0.7,0.1,0.3,0.1,0.7,0.2,4.0,
Mason Plumlee,34,PHO,C,57,18,17.8,1.6,2.6,.593,0.0,0.0,.000,1.6,2.6,.601,.593,0.9,1.5,.619,1.6,4.6,6.2,1.9,0.5,0.7,0.8,2.2,4.0,
Josh Richardson,31,MIA,SG,8,0,18.8,1.4,4.8,.289,0.8,2.8,.273,0.6,2.0,.313,.368,0.5,0.5,1.000,0.8,0.8,1.5,1.5,1.0,0.1,1.0,2.1,4.0,
Cam Spencer,24,MEM,SG,10,0,12.1,1.3,3.0,.433,0.5,1.6,.313,0.8,1.4,.571,.517,0.9,0.9,1.000,0.5,1.2,1.7,1.6,0.3,0.1,0.5,1.1,4.0,
Oscar Tshiebwe,25,UTA,C,4,0,13.5,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,2.0,2.5,.800,1.8,4.0,5.8,0.3,1.3,0.0,0.3,3.0,4.0,
Jabari Walker,22,POR,SF,41,1,11.0,1.5,3.1,.488,0.3,1.0,.286,1.2,2.1,.586,.535,0.7,1.0,.675,0.8,2.4,3.2,0.5,0.6,0.1,0.5,1.4,4.0,
Kris Murray,24,POR,SF,48,1,13.2,1.6,3.5,.452,0.4,1.4,.275,1.2,2.1,.576,.509,0.3,0.8,.421,1.0,1.1,2.1,0.9,0.4,0.2,0.5,0.9,3.9,
Antonio Reeves,24,NOP,SG,27,0,9.8,1.5,3.7,.406,0.6,2.0,.315,0.9,1.7,.511,.490,0.3,0.3,.875,0.3,0.7,1.0,0.7,0.3,0.1,0.3,0.4,3.9,
Jeenathan Williams,25,HOU,SG,7,0,5.6,1.7,2.6,.667,0.4,1.0,.429,1.3,1.6,.818,.750,0.0,0.0,,0.1,0.6,0.7,0.6,0.4,0.4,0.6,0.4,3.9,
Orlando Robinson,24,TOR,C,14,2,14.9,1.8,4.2,.424,0.1,0.8,.182,1.6,3.4,.479,.441,1.1,1.4,.842,1.6,2.4,3.9,1.3,0.3,0.2,1.1,2.0,4.9,
Patty Mills,36,LAC,PG,5,0,5.2,0.6,1.8,.333,0.6,1.8,.333,0.0,0.0,,.500,0.2,0.4,.500,0.0,0.0,0.0,0.6,0.2,0.0,0.2,1.2,2.0,
Devin Carter,22,SAC,PG,18,0,9.3,1.2,3.7,.333,0.5,1.8,.273,0.7,1.8,.394,.402,0.8,1.1,.750,0.4,1.9,2.3,1.2,0.3,0.2,0.4,0.8,3.8,
Pelle Larsson,23,MIA,SG,36,1,12.6,1.3,2.9,.453,0.5,1.5,.340,0.8,1.5,.566,.538,0.6,0.9,.667,0.4,1.1,1.5,0.9,0.4,0.1,0.4,1.7,3.8,
Olivier-Maxence Prosper,22,DAL,PF,48,4,10.9,1.4,3.3,.406,0.2,1.0,.217,1.1,2.4,.482,.438,0.9,1.4,.636,0.9,1.5,2.5,0.8,0.5,0.1,0.3,0.6,3.8,
Gui Santos,22,GSW,PF,33,1,13.0,1.3,2.9,.438,0.7,1.9,.371,0.6,1.0,.559,.557,0.5,0.7,.708,1.3,1.8,3.0,1.3,0.4,0.2,0.7,1.6,3.8,
Brandon Williams,25,DAL,PG,20,0,8.6,1.3,2.8,.446,0.5,1.2,.435,0.8,1.7,.455,.536,0.8,1.0,.789,0.1,0.7,0.8,1.2,0.3,0.1,0.7,0.6,3.8,
Jevon Carter,29,CHI,PG,27,0,7.2,1.3,3.2,.407,0.9,2.3,.371,0.4,0.9,.500,.541,0.3,0.4,.800,0.1,0.9,0.9,1.0,0.3,0.0,0.3,0.3,3.7,
Ousmane Dieng,21,OKC,C,30,0,11.1,1.4,3.5,.400,0.6,2.0,.283,0.8,1.5,.556,.481,0.4,0.5,.688,0.5,1.8,2.3,0.9,0.5,0.2,0.5,0.9,3.7,
Andre Jackson Jr.,23,MIL,SG,54,43,16.5,1.5,3.2,.469,0.5,1.3,.386,1.0,1.9,.524,.546,0.2,0.3,.556,1.1,2.0,3.0,1.4,0.6,0.2,0.9,1.9,3.7,
Damion Lee,32,PHO,SG,15,0,6.7,1.1,3.4,.333,0.3,1.7,.200,0.8,1.7,.462,.382,1.1,1.1,.941,0.1,0.7,0.9,0.5,0.3,0.0,0.4,0.3,3.7,
Wendell Moore Jr.,23,CHO,SG,4,0,18.5,2.5,6.0,.417,0.5,1.5,.333,2.0,4.5,.444,.458,0.5,0.8,.667,2.0,1.5,3.5,0.3,0.3,0.0,1.0,1.5,6.0,
Steven Adams,31,HOU,C,39,2,12.4,1.4,2.7,.529,0.0,0.0,,1.4,2.7,.529,.529,0.7,1.7,.446,2.7,2.5,5.2,1.0,0.3,0.4,0.9,1.0,3.6,
Isaac Jones,24,SAC,PF,25,0,8.7,1.5,2.3,.655,0.0,0.2,.250,1.5,2.2,.685,.664,0.6,1.0,.538,0.6,1.0,1.5,0.3,0.1,0.3,0.5,1.0,3.6,
Jae'Sean Tate,29,HOU,SF,38,2,11.4,1.3,2.9,.455,0.2,0.8,.290,1.1,2.1,.519,.496,0.7,1.1,.659,0.9,1.2,2.1,0.9,0.6,0.1,0.5,1.8,3.6,
Moses Brown,25,DAL,C,2,0,10.5,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,0.5,0.5,1.000,1.5,4.0,5.5,1.0,0.5,0.5,2.5,1.0,4.5,
Jamal Cain,25,NOP,SF,21,0,12.3,1.2,3.0,.406,0.5,1.7,.278,0.8,1.3,.571,.484,0.6,0.9,.667,0.8,1.5,2.3,0.5,0.4,0.3,0.5,1.1,3.5,
Luka Garza,26,MIN,C,26,0,6.1,1.4,3.0,.462,0.2,1.0,.222,1.2,2.0,.588,.500,0.5,0.7,.722,1.0,0.7,1.8,0.2,0.1,0.1,0.3,1.0,3.5,
Dario Å ariÄ,30,DEN,C,14,4,14.2,1.3,3.9,.333,0.4,1.7,.250,0.9,2.1,.400,.389,0.5,0.7,.700,1.0,2.5,3.5,1.6,0.5,0.1,1.0,1.3,3.5,
Landry Shamet,27,NYK,SG,25,0,11.3,1.4,3.0,.461,0.6,1.8,.341,0.8,1.3,.625,.559,0.1,0.3,.429,0.2,0.7,0.9,0.6,0.4,0.1,0.4,0.8,3.5,
TyTy Washington Jr.,23,PHO,PG,8,0,11.1,1.4,4.3,.324,0.4,2.0,.188,1.0,2.3,.444,.368,0.4,0.5,.750,0.5,1.0,1.5,1.5,0.4,0.0,0.3,0.1,3.5,
Nicolas Batum,36,LAC,PF,55,2,17.2,1.1,2.9,.390,0.9,2.4,.386,0.2,0.5,.407,.550,0.2,0.3,.786,0.6,2.2,2.8,1.2,0.7,0.4,0.4,1.5,3.4,
Bruno Fernando,26,TOR,C,17,2,8.6,1.5,2.9,.531,0.0,0.0,,1.5,2.9,.531,.531,0.4,0.5,.750,1.2,1.8,3.0,1.1,0.2,0.5,0.8,1.6,3.4,
Oso Ighodaro,22,PHO,PF,42,2,14.4,1.5,2.6,.574,0.0,0.0,.000,1.5,2.5,.585,.574,0.5,0.9,.528,0.8,2.3,3.2,1.0,0.4,0.4,0.5,1.5,3.4,
DeAndre Jordan,36,DEN,C,43,2,11.6,1.5,2.3,.653,0.0,0.0,,1.5,2.3,.653,.653,0.3,0.8,.424,1.4,3.3,4.7,0.8,0.3,0.5,0.7,1.3,3.4,
Reed Sheppard,20,HOU,PG,41,0,11.5,1.3,4.1,.310,0.7,2.5,.275,0.6,1.6,.364,.393,0.2,0.2,.900,0.4,1.0,1.4,1.0,0.6,0.3,0.6,0.9,3.4,
Jeff Dowtin,27,PHI,PG,26,0,10.9,1.3,3.4,.382,0.2,1.0,.240,1.1,2.5,.438,.416,0.5,0.7,.706,0.2,1.0,1.2,1.5,0.3,0.2,0.2,0.6,3.3,
Doug McDermott,33,SAC,SF,32,3,8.3,1.1,2.7,.424,1.0,2.3,.431,0.2,0.4,.385,.606,0.1,0.2,.600,0.1,0.5,0.5,0.1,0.1,0.0,0.2,0.8,3.3,
Jalen Pickett,25,DEN,SG,27,0,10.7,1.3,3.0,.444,0.6,1.6,.381,0.7,1.4,.513,.543,0.1,0.1,1.000,0.2,0.9,1.1,1.8,0.3,0.1,0.4,0.5,3.3,
Cam Reddish,25,LAL,SF,31,8,18.1,1.2,2.8,.430,0.4,1.5,.289,0.8,1.3,.585,.506,0.5,0.8,.615,0.5,1.5,2.0,0.7,1.0,0.3,0.4,1.4,3.3,
Nae'Qwan Tomlin,24,CLE,PF,3,0,4.7,1.3,2.7,.500,0.0,0.7,.000,1.3,2.0,.667,.500,0.7,1.0,.667,0.3,1.7,2.0,0.0,0.0,0.0,0.3,0.7,3.3,
Jarred Vanderbilt,25,LAL,PF,12,0,15.2,1.3,2.8,.471,0.3,0.9,.364,1.0,1.9,.522,.529,0.3,0.8,.400,1.8,3.5,5.3,1.3,1.1,0.1,0.8,1.8,3.3,
Elijah Harkless,24,UTA,SG,10,0,13.8,1.1,3.5,.314,0.7,2.5,.280,0.4,1.0,.400,.414,0.3,0.6,.500,0.9,1.2,2.1,0.8,1.0,0.1,0.3,1.8,3.2,
Craig Porter Jr.,24,CLE,PG,37,0,9.2,1.3,2.3,.553,0.4,0.8,.467,0.9,1.5,.600,.635,0.3,0.4,.769,0.3,0.9,1.2,1.4,0.4,0.3,0.6,0.4,3.2,
Jackson Rowe,28,GSW,PF,5,0,8.6,1.2,3.0,.400,0.4,1.8,.222,0.8,1.2,.667,.467,0.4,0.8,.500,0.0,1.6,1.6,0.6,0.6,0.0,0.2,0.8,3.2,
Jaylon Tyson,22,CLE,SG,38,2,9.5,1.2,2.6,.465,0.4,1.0,.368,0.8,1.6,.525,.535,0.4,0.5,.778,0.8,1.3,2.1,0.9,0.2,0.1,0.5,1.1,3.2,
Dominick Barlow,21,ATL,SF,17,2,8.1,1.3,2.7,.478,0.3,0.8,.385,1.0,1.9,.515,.533,0.2,0.5,.500,0.5,1.2,1.6,0.2,0.2,0.4,0.1,0.7,3.1,
Gary Harris,30,ORL,SG,31,2,15.5,1.1,3.0,.366,0.7,2.3,.324,0.4,0.7,.500,.489,0.2,0.3,.600,0.5,0.7,1.2,0.5,0.6,0.3,0.4,0.9,3.1,
JT Thor,22,CLE,PF,9,0,4.7,1.0,1.7,.600,0.3,0.7,.500,0.7,1.0,.667,.700,0.8,0.9,.875,0.3,0.3,0.7,0.1,0.2,0.3,0.7,0.7,3.1,
Collin Gillespie,25,PHO,PG,9,0,5.0,1.1,2.0,.556,0.3,0.7,.500,0.8,1.3,.583,.639,0.4,0.6,.800,0.3,0.4,0.8,0.8,0.2,0.2,0.2,0.4,3.0,
